Test_code,Description,Description_orig,Read_code,Sample_type,Units,dtUpdated,recordCount_ML,recordCount_preML,dtRecordCount,dtCreated,dtLastTest_ML,commonCode,commonCodeStatus,hb_extract,maxResult,minResult,frequency
0055,NULL,NULL,NULL,NULL,NULL,2012-03-02,12,NULL,2012-03-07,NULL,2011-05-20,NULL,NULL,T,NULL,NULL,12
0061,NULL,NULL,NULL,NULL,NULL,2012-03-02,9,NULL,2012-03-07,NULL,2011-05-26,NULL,NULL,T,NULL,NULL,9
0064,NULL,NULL,NULL,NULL,NULL,2012-03-02,5,NULL,2013-03-19,NULL,2011-03-18,NULL,NULL,T,NULL,NULL,5
0008,NULL,NULL,NULL,NULL,NULL,2012-03-02,36,NULL,2013-03-19,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,36
0026,NULL,NULL,NULL,NULL,NULL,2012-03-02,82,NULL,2013-03-19,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,82
0047,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,2
0035,NULL,NULL,NULL,NULL,NULL,2012-03-02,74,NULL,2013-03-19,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,74
0004,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-04-07,NULL,NULL,T,NULL,NULL,2
0005,NULL,NULL,NULL,NULL,NULL,2012-03-02,61,NULL,2013-03-19,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,61
0025,NULL,NULL,NULL,NULL,NULL,2012-03-02,8,NULL,2013-03-19,NULL,2011-04-27,NULL,NULL,T,NULL,NULL,8
0027,NULL,NULL,NULL,NULL,NULL,2012-03-02,18,NULL,2012-03-07,NULL,2011-06-04,NULL,NULL,T,NULL,NULL,18
0044,NULL,NULL,NULL,NULL,NULL,2012-03-02,15,NULL,2012-03-07,NULL,2011-05-04,NULL,NULL,T,NULL,NULL,15
0046,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-12-20,NULL,NULL,T,NULL,NULL,1
0051,NULL,NULL,NULL,NULL,NULL,2012-03-02,1660,NULL,2013-03-19,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,1660
0058,NULL,NULL,NULL,NULL,NULL,2012-03-02,48,NULL,2013-03-19,NULL,2011-06-01,NULL,NULL,T,NULL,NULL,48
0060,NULL,NULL,NULL,NULL,NULL,2012-03-02,5,NULL,2012-03-07,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,5
0065,NULL,NULL,NULL,NULL,NULL,2012-03-02,10,NULL,2013-03-19,NULL,2011-05-04,NULL,NULL,T,NULL,NULL,10
0067,NULL,NULL,NULL,NULL,NULL,2012-03-02,108,NULL,2013-03-19,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,108
0069,NULL,NULL,NULL,NULL,NULL,2012-03-02,7,NULL,2012-03-07,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,7
0068,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-12-20,NULL,NULL,T,NULL,NULL,1
0070,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2011-02-08,NULL,NULL,T,NULL,NULL,1
0074,NULL,NULL,NULL,NULL,NULL,2012-03-02,22,NULL,2012-03-07,NULL,2011-05-25,NULL,NULL,T,NULL,NULL,22
0075,NULL,NULL,NULL,NULL,NULL,2012-03-02,29,NULL,2012-03-07,NULL,2011-06-02,NULL,NULL,T,NULL,NULL,29
0072,NULL,NULL,NULL,NULL,NULL,2012-03-02,35,NULL,2012-03-07,NULL,2011-06-08,NULL,NULL,T,NULL,NULL,35
0076,NULL,NULL,NULL,NULL,NULL,2012-03-02,12,NULL,2012-03-07,NULL,2011-05-23,NULL,NULL,T,NULL,NULL,12
0080,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-12-09,NULL,NULL,T,NULL,NULL,1
0077,NULL,NULL,NULL,NULL,NULL,2012-03-02,7,NULL,2012-03-07,NULL,2011-05-11,NULL,NULL,T,NULL,NULL,7
0083,NULL,NULL,NULL,NULL,NULL,2012-03-02,39,NULL,2012-03-07,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,39
0084,NULL,NULL,NULL,NULL,NULL,2012-03-02,6,NULL,2012-03-07,NULL,2011-05-04,NULL,NULL,T,NULL,NULL,6
0085,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-02-04,NULL,NULL,T,NULL,NULL,2
0088,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2011-02-03,NULL,NULL,T,NULL,NULL,1
0087,NULL,NULL,NULL,NULL,NULL,2012-03-02,78,NULL,2012-03-07,NULL,2011-06-07,NULL,NULL,T,NULL,NULL,78
0086,NULL,NULL,NULL,NULL,NULL,2012-03-02,4,NULL,2012-03-07,NULL,2011-06-01,NULL,NULL,T,NULL,NULL,4
0094,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-09-28,NULL,NULL,T,NULL,NULL,1
0089,NULL,NULL,NULL,NULL,NULL,2012-03-02,8,NULL,2012-03-07,NULL,2011-05-25,NULL,NULL,T,NULL,NULL,8
0090,NULL,NULL,NULL,NULL,NULL,2012-03-02,12,NULL,2012-03-07,NULL,2011-05-18,NULL,NULL,T,NULL,NULL,12
0096,NULL,NULL,NULL,NULL,NULL,2012-03-02,19,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,19
0095,NULL,NULL,NULL,NULL,NULL,2012-03-02,19,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,19
0097,NULL,NULL,NULL,NULL,NULL,2012-03-02,19,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,19
0099,NULL,NULL,NULL,NULL,NULL,2012-03-02,24,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,24
0100,NULL,NULL,NULL,NULL,NULL,2012-03-02,20,NULL,2013-03-19,NULL,2011-06-06,NULL,NULL,T,NULL,NULL,20
0102,NULL,NULL,NULL,NULL,NULL,2012-03-02,11,NULL,2012-03-07,NULL,2011-05-31,NULL,NULL,T,NULL,NULL,11
0105,NULL,NULL,NULL,NULL,NULL,2012-03-02,20,NULL,2012-03-07,NULL,2011-05-30,NULL,NULL,T,NULL,NULL,20
0106,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-05-16,NULL,NULL,T,NULL,NULL,2
0108,NULL,NULL,NULL,NULL,NULL,2012-03-02,17,NULL,2013-03-19,NULL,2011-06-04,NULL,NULL,T,NULL,NULL,17
0109,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-11-26,NULL,NULL,T,NULL,NULL,1
0110,NULL,NULL,NULL,NULL,NULL,2012-03-02,28,NULL,2012-03-07,NULL,2011-03-09,NULL,NULL,T,NULL,NULL,28
0111,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-06-24,NULL,NULL,T,NULL,NULL,1
0112,NULL,NULL,NULL,NULL,NULL,2012-03-02,7,NULL,2012-03-07,NULL,2011-01-31,NULL,NULL,T,NULL,NULL,7
0113,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2010-06-15,NULL,NULL,T,NULL,NULL,1
0114,NULL,NULL,NULL,NULL,NULL,2012-03-02,4,NULL,2012-03-07,NULL,2011-02-04,NULL,NULL,T,NULL,NULL,4
0115,NULL,NULL,NULL,NULL,NULL,2012-03-02,10,NULL,2012-03-07,NULL,2011-01-25,NULL,NULL,T,NULL,NULL,10
0117,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2011-04-28,NULL,NULL,T,NULL,NULL,1
0118,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-03-30,NULL,NULL,T,NULL,NULL,2
0121,NULL,NULL,NULL,NULL,NULL,2012-03-02,1,NULL,2012-03-07,NULL,2011-05-10,NULL,NULL,T,NULL,NULL,1
0122,NULL,NULL,NULL,NULL,NULL,2012-03-02,2,NULL,2012-03-07,NULL,2011-05-16,NULL,NULL,T,NULL,NULL,2
17 ALPHA-HYDROXYCHOLESTENONE,17 alpha-hydroxycholestenone,17 alpha-hydroxycholestenone,44D7.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,50,35,3
17-HYDROXYPROGESTERONE,17-hydroxyprogesterone,17-hydroxyprogesterone,4466.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,781,1,94
17-OH PROGESTERONE SCREEN,17-OH Progesterone Screen,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,1
17AC,17 alpha-hydroxycholestenone,17 alpha-hydroxycholestenone,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,19,19,2
17AP,17-HYDROXYPROGESTERONE                  ,17-HYDROXYPROGESTERONE                  ,448n.,B,nmol/L,2012-03-02,1345,842,2013-03-19,NULL,2012-12-13,URINE VOLUME,1,T,1610,0,2323
17AP,Serum 17alphydroxyprogest lev,17-HYDROXYPROGESTERONE,448n.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,1610,0,2323
24UR,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,1,2012-03-02,NULL,NULL,NULL,NULL,T,1.92,1.92,1
24HC      ,24HR URINE CALCIUM EXCRETION,24HR URINE CALCIUM EXCRETION,NULL,U,NULL,2012-03-02,NULL,23,2012-03-02,NULL,NULL,CALCIUM,1,T,12.28,2.06,23
2UGL      ,2 HOUR URINE GLUCOSE,2 HOUR URINE GLUCOSE,NULL,U,NULL,2012-03-02,NULL,28,2012-03-02,NULL,NULL,GLUCOSE,1,T,3,0,28
ACE,Angiotensin conv. enzyme,Angiotensin conv. enzyme,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,450,12,2477
24PH,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,1,2012-03-02,NULL,NULL,NULL,NULL,T,22.08,22.08,1
24HU,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,2,2012-03-02,NULL,NULL,NULL,NULL,T,302,130.9,2
24UK      ,24 HOUR URINE POTASSIUM,24 HOUR URINE POTASSIUM,NULL,U,NULL,2012-03-02,NULL,7,2012-03-02,NULL,NULL,POTASSIUM,1,T,51.8,16,7
2TAC,TACROLIMUS,TACROLIMUS,NULL,NULL,NULL,2012-03-02,NULL,770,2012-03-02,NULL,NULL,TACROLIMUS,1,T,79.8,0,770
5HIA ,5-HIAA                                  ,5-HIAA                                  ,46T9.,U,umol/L,2012-03-02,4987,4,2013-03-19,NULL,2012-11-26,5-HIAA,1,T,3000,1,5451
5HIA,5-HIAA level,URINE 5-HIAA,44p4.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,3000,1,5451
5HIA,Urine 5-OH indole acetic acid,URINE 5-HIAA,46T9.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,3000,1,5451
2NALB,ACKMB,ACKMB,NULL,NULL,NULL,2012-03-02,NULL,7,2012-03-02,NULL,NULL,CKMB,1,T,54,10,7
5HIAA,5-HIAA,5-HIAA,NULL,NULL,NULL,2012-03-02,NULL,1732,2012-03-02,NULL,NULL,5-HIAA,1,T,1740,0,1732
AALB,ALBUMIN,ALBUMIN,NULL,NULL,NULL,2012-03-02,NULL,88386,2012-03-02,NULL,NULL,ALBUMIN,1,T,72,0,88386
AAMS,AMYLASE,AMYLASE,NULL,NULL,NULL,2012-03-02,NULL,4003,2012-03-02,NULL,NULL,AMYLASE,1,T,35500,1,4003
5-HIAA,5-HIAA,5-HIAA,46T9.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,1359.3,3.7,236
ABIC,BICARBONATE,BICARBONATE,NULL,NULL,NULL,2012-03-02,NULL,3832,2012-03-02,NULL,NULL,BICARBONATE,1,T,50,0,3832
AB   ,ACTUAL BICARBONATE                      ,ACTUAL BICARBONATE                      ,44h3.,B,mmol/L,2012-03-02,34289,27582,2013-03-19,NULL,2009-09-21,BICARBONATE,1,T,72,0,61787
ABSD2,URINE (CODE 230),URINE (CODE 230),NULL,U,NULL,2012-03-02,NULL,3,2012-03-02,NULL,NULL,NULL,NULL,T,2.989,0.785,3
ACHL,CHLORIDE,CHLORIDE,NULL,NULL,NULL,2012-03-02,NULL,2800,2012-03-02,NULL,NULL,CHLORIDE,1,T,123,0,2800
5-HIAA (TIMED URINE),5-HIAA (timed urine),5-HIAA (timed urine),46TE.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,2936.1,8.6,235
6-MAM (HEROIN METABOLITE),6-MAM (heroin metabolite),6-MAM (heroin metabolite),46Qd.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,9776
6TGN,NULL,NULL,NULL,NULL,UNITS,NULL,1,NULL,2013-03-19,2013-03-19,2012-11-30,NULL,NULL,T,1465,117,21
A2,alpha-2,alpha-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,18.6,1.7,2354
AACR,AntiAcetylCholine Receptor Abs,AntiAcetylCholine Receptor Abs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,21.07,0.1,509
ACAL,CALCIUM,CALCIUM,NULL,NULL,NULL,2012-03-02,NULL,56975,2012-03-02,NULL,NULL,CALCIUM,1,T,4.57,0,56975
ACID PHOSPHATASE (TOTAL),Acid phosphatase (total),Acid phosphatase (total),44C9.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,19,4,11
ACKMBP,CKMB%,CKMB%,NULL,NULL,NULL,2012-03-02,NULL,676,2012-03-02,NULL,NULL,CKMB,1,T,75,1,676
ACOR,CORRECTED CALCIUM,CORRECTED CALCIUM,NULL,NULL,NULL,2012-03-02,NULL,56821,2012-03-02,NULL,NULL,CALCIUM CORRECTED,1,T,4.73,0,56821
ACPR ,ACTH PRECURSORS                         ,ACTH PRECURSORS                         ,4Q2C.,B,pmol/L,2012-03-02,4,NULL,2013-03-19,NULL,2012-03-27,ACTH,1,T,33,33,4
ACR,NULL,NULL,NULL,NULL,NULL,2012-03-02,3,NULL,2013-03-19,NULL,2012-06-14,NULL,NULL,T,NULL,NULL,4
ACT BIC,ACT.BICARB,ACT.BICARB,NULL,NULL,NULL,2012-03-02,NULL,18125,2012-03-02,NULL,NULL,BICARBONATE,1,T,98,0,18125
ACTBIC,ACT.BICARB,ACT.BICARB,NULL,NULL,NULL,2012-03-02,NULL,11300,2012-03-02,NULL,NULL,BICARBONATE,1,T,67,1,11300
ACTH,ACTH                                    ,ACTH                                    ,4483,B,ng/L,2012-03-02,1340,927,2013-03-19,NULL,2012-12-20,ACTH,1,T,3816,0,2776
ACTH,ACTH,ACTH,448r.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,3816,0,2776
AGLU,GLUCOSE,GLUCOSE,NULL,NULL,NULL,2012-03-02,NULL,34036,2012-03-02,NULL,NULL,GLUCOSE,1,T,246,0,34036
ALB  ,ALBUMIN                                 ,ALBUMIN                                 ,44M4.,B,g/L,2012-03-02,4287558,619260,2013-03-19,NULL,2012-12-21,ALBUMIN,1,T,7750,0,5528808
ADR,ADRENALINE                              ,ADRENALINE                              ,448e.,B,ng/L,2012-03-02,10,1825,2012-03-07,NULL,2010-03-10,ADRENALINE,1,T,2349,0,1837
ACYL ,ACYLCARNITINES                          ,ACYLCARNITINES                          ,44t1.,B,,2012-03-02,288,NULL,2013-03-19,NULL,2012-11-28,NULL,NULL,T,41,16,341
ALB,Serum albumin,ALBUMIN,44M4.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,7750,0,5528808
ACYL,Blood spot acylcarnitine,ACYLCARNITINES,44t1.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,41,16,341
ALB2      ,ALBUMIN REPEAT,ALBUMIN REPEAT,NULL,NULL,NULL,2012-03-02,NULL,55,2012-03-02,NULL,NULL,ALBUMIN,1,T,57,12,55
AFP,AFP                                     ,AFP                                     ,44B..,B,kU/L,2012-03-02,24131,47083,2013-03-19,NULL,2012-12-21,AFP,1,T,1666375,0,84935
ALC2      ,ALCOHOL REPEAT,ALCOHOL REPEAT,NULL,NULL,NULL,2012-03-02,NULL,124,2012-03-02,NULL,NULL,ALCOHOL,1,T,120,0,124
AFP,Alpha foeto protein,Alpha foeto protein,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,1666375,0,84935
ALDOST,ALDOSTERONE,ALDOSTERONE,NULL,NULL,NULL,2012-03-02,NULL,560,2012-03-02,NULL,NULL,ALDOSTERONE,1,T,86360,34,560
ALBUMIN (TIMED URINE),Albumin (timed urine),Albumin (timed urine),46N6.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALBUMIN,NULL,F,18476,0,1259
ALDOSTERONE,Aldosterone,Aldosterone,448q.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,2099,45,31
ADH  ,VASOPRESSIN                             ,VASOPRESSIN                             ,4485,B,pmol/L,2012-03-02,25,11,2013-03-19,NULL,2012-03-14,NULL,NULL,T,8.9,0,37
ALCH,ALCOHOL,ALCOHOL,NULL,NULL,NULL,2012-03-02,NULL,1,2012-03-02,NULL,NULL,ALCOHOL,1,T,21,21,1
ALBUMIN (URINE),Albumin (Urine),Albumin (Urine),46N4.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALBUMIN,NULL,F,38000,2,33588
AL,ALUMINIUM                               ,ALUMINIUM                               ,44LE.,B,umol/L,2012-03-02,2898,218,2013-03-19,NULL,2013-02-11,ALUMINIUM,1,T,63,0,1847623
ALCO,ETHANOL,ETHANOL,NULL,NULL,NULL,2012-03-02,NULL,332,2012-03-02,NULL,NULL,NULL,NULL,T,160,1,332
ALCOHOL,Alcohol,Alcohol,44XA.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,117.1,0.4,244
ALDH,LDH,LDH,NULL,NULL,NULL,2012-03-02,NULL,953,2012-03-02,NULL,NULL,NULL,NULL,T,9087,32,953
ALK. PHOSPHATASE ISOENZYMES,Alk. Phosphatase Isoenzymes,Alk. Phosphatase Isoenzymes,44FE.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,22
AL,Albumin,Albumin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALBUMIN,NULL,F,63,0,1847623
ALKPHIE,ALK.PHOS ISOENZYMES,ALK.PHOS ISOENZYMES,NULL,NULL,NULL,2012-03-02,NULL,27,2012-03-02,NULL,NULL,ALKALINE PHOSPHATASE,1,T,9955,0,27
ALCOH,NOTE,NOTE,NULL,NULL,NULL,2012-03-02,NULL,1,2012-03-02,NULL,NULL,NULL,NULL,T,0,0,1
ALKALINE PHOSPHATASE,Alkaline phosphatase,Alkaline phosphatase,44F..,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,10530,3,538246
ALP,SERUM U/L (CODE 122),SERUM U/L (CODE 122),NULL,S,NULL,2012-03-02,NULL,28433,2012-03-02,NULL,NULL,ALKALINE PHOSPHATASE,1,T,3190,0,28433
ALPHA FOETO PROTEIN,Alpha foeto protein,Alpha foeto protein,44B..,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,362529,1,2584
ALPH,ALKALINE PHOSPHATASE,ALK.PHOS.,NULL,NULL,NULL,2012-03-02,NULL,444137,2012-03-02,NULL,NULL,ALKALINE PHOSPHATASE,1,T,9403,0,444137
ALT    *,ALT,ALT,NULL,NULL,NULL,2012-03-02,NULL,43829,2012-03-02,NULL,NULL,ALT,1,T,23100,1,43829
ALUM,ALUMINIUM   (PLASMA),ALUMINIUM   (PLASMA),NULL,NULL,NULL,2012-03-02,NULL,829,2012-03-02,NULL,NULL,ALUMINIUM,1,T,5.5,0,829
24HP      ,24 HOUR PROTEIN EXCRETION,24 HOUR PROTEIN EXCRETION,NULL,NULL,NULL,2012-03-02,NULL,323,2012-03-02,NULL,NULL,PROTEIN,1,T,13.31,0,323
1GLU      ,1 HOUR PLASMA GLUCOSE,1 HOUR PLASMA GLUCOSE,NULL,NULL,NULL,2012-03-02,NULL,32,2012-03-02,NULL,NULL,GLUCOSE,1,T,39.7,4.6,32
5HEX,5-HIAA,5-HIAA,NULL,NULL,NULL,2012-03-02,NULL,362,2012-03-02,NULL,NULL,5-HIAA,1,T,499,0,362
7DHC,7-DEHYDROCHOLESTEROL                    ,7-DEHYDROCHOLESTEROL                    ,4QA0.,B,,2012-03-02,50,6,2012-03-07,NULL,2011-07-18,NULL,NULL,T,193,0,62
24MG      ,24 HOUR MAGNESIUM EXCRETION,24 HOUR MAGNESIUM EXCRETION,NULL,NULL,NULL,2012-03-02,NULL,2,2012-03-02,NULL,NULL,MAGNESIUM,1,T,2.4,2.4,2
?DEL      ,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,45,2012-03-02,NULL,NULL,NULL,NULL,T,18.3,4.5,45
24UC,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,1,2012-03-02,NULL,NULL,NULL,NULL,T,2.37,2.37,1
A1,Globulins:- alpha-1,Globulins:- alpha-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,6.7,0.8,2357
1;25 DIHYDROXYCHOLECALCIFEROL,1;25 dihydroxycholecalciferol,1;25 dihydroxycholecalciferol,44LL.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,172,30,7
2GLU      ,2 HOUR GLUCOSE,2 HOUR GLUCOSE,NULL,NULL,NULL,2012-03-02,NULL,573,2012-03-02,NULL,NULL,GLUCOSE,1,T,33.8,1.5,573
AAC       ,ALBUMIN ADJUSTED CALCIUM,ALBUMIN ADJUSTED CALCIUM,NULL,NULL,NULL,2012-03-02,NULL,34521,2012-03-02,NULL,NULL,CALCIUM CORRECTED,1,T,672,0,35159
AAST,AST,AST,NULL,NULL,NULL,2012-03-02,NULL,715,2012-03-02,NULL,NULL,AST,1,T,3087,7,715
AAC,Amino Acid Chromatography,Amino Acid Chromatography,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,672,0,35159
ABIL,BILIRUBIN,BILIRUBIN,NULL,NULL,NULL,2012-03-02,NULL,82354,2012-03-02,NULL,NULL,BILIRUBIN,1,T,2216,0,82354
ABID      ,NULL,NULL,NULL,NULL,NULL,2012-03-02,NULL,3,2012-03-02,NULL,NULL,NULL,NULL,T,0,0,3
AFAFP,AMNIOTIC FLUID AFP,AMNIOTIC FLUID AFP,NULL,NULL,NULL,2012-03-02,NULL,361,2012-03-02,NULL,NULL,AFP,1,T,53.6,0,361
ACK,CREAT.KINASE,CREAT.KINASE,NULL,NULL,NULL,2012-03-02,NULL,13617,2012-03-02,NULL,NULL,CREATININE KINASE,1,T,261901,2,13617
AFP (MATERNAL),AFP (maternal),AFP (maternal),44B7.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,32
ACRE,CREATININE,CREATININE,NULL,NULL,NULL,2012-03-02,NULL,123904,2012-03-02,NULL,NULL,CREATININE,1,T,2881,5,123904
AGA,Anti Ganglioside Antibodies,Anti Ganglioside Antibodies,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F,NULL,NULL,11
AFBIL,AMNIOTIC FLUID BILI,AMNIOTIC FLUID BILI,NULL,NULL,NULL,2012-03-02,NULL,15,2012-03-02,NULL,NULL,BILIRUBIN,1,T,0.18,0,15
AIRON,IRON,IRON,NULL,NULL,NULL,2012-03-02,NULL,2315,2012-03-02,NULL,NULL,IRON,1,T,83,1,2315
